"Question Text","Question Type","Option 1","Option 2","Option 3","Option 4","Option 5","Correct Answer","Time in seconds","Image Link","Answer explanation"
"Trận Điện Biên Phủ bắt đầu vào ngày nào?","Multiple Choice","13 tháng 3 năm 1954","7 tháng 5 năm 1954","20 tháng 7 năm 1954","10 tháng 12 năm 1953","","1","30","https://upload.wikimedia.org/wikipedia/commons/2/27/Dien_Bien_Phu_campaign_starts.jpg","Trận Điện Biên Phủ chính thức bắt đầu với cuộc tấn công của Việt Minh vào các cứ điểm của Pháp vào ngày 13 tháng 3 năm 1954."
"Trận Điện Biên Phủ kết thúc vào ngày nào?","Multiple Choice","13 tháng 3 năm 1954","7 tháng 5 năm 1954","20 tháng 7 năm 1954","10 tháng 12 năm 1953","","2","30","https://upload.wikimedia.org/wikipedia/commons/0/02/Dien_Bien_Phu_final_assault.jpg","Sau 56 ngày đêm chiến đấu, quân đội Pháp tại Điện Biên Phủ đã đầu hàng vào ngày 7 tháng 5 năm 1954."
"Điện Biên Phủ nằm ở đâu tại Việt Nam?","Multiple Choice","Tây Bắc Việt Nam","Đồng bằng sông Hồng","Miền Trung Việt Nam","Miền Nam Việt Nam","","1","30","https://upload.wikimedia.org/wikipedia/commons/8/87/Map_Battle_of_Dien_Bien_Phu.jpg","Điện Biên Phủ là một thung lũng lòng chảo ở khu vực Tây Bắc Việt Nam, gần biên giới Lào."
"Ai là Tổng Tư lệnh Chiến dịch Điện Biên Phủ của Việt Minh?","Multiple Choice","Phạm Văn Đồng","Võ Nguyên Giáp","Hồ Chí Minh","Trường Chinh","","2","30","https://upload.wikimedia.org/wikipedia/commons/2/22/V%C3%B5_Nguy%C3%AAn_Gi%C3%A1p_%281977%29.jpg","Đại tướng Võ Nguyên Giáp là Tổng Tư lệnh kiêm Bí thư Đảng ủy Chiến dịch Điện Biên Phủ."
"Ai là Chỉ huy trưởng Tập đoàn cứ điểm Điện Biên Phủ của Pháp?","Multiple Choice","Jean de Lattre de Tassigny","Henri Navarre","Christian de Castries","Charles de Gaulle","","3","30","https://upload.wikimedia.org/wikipedia/commons/f/fe/Christian_de_Castries.jpg","Đại tá Christian de Castries là người chỉ huy quân đội Pháp tại Điện Biên Phủ."
"Mục tiêu chiến lược của Pháp khi xây dựng Tập đoàn cứ điểm Điện Biên Phủ là gì?","Multiple Choice","Kiểm soát đường biên giới với Trung Quốc","Bảo vệ thủ đô Hà Nội","Nhử và tiêu diệt chủ lực Việt Minh","Làm căn cứ hậu cần cho quân Pháp","","3","30","https://upload.wikimedia.org/wikipedia/commons/4/4b/Dienbienphu-airstrip.jpg","Kế hoạch Navarre, trong đó Điện Biên Phủ là một phần, nhằm mục đích nhử quân chủ lực Việt Minh ra và tiêu diệt họ trong một trận đánh lớn."
"Ban đầu, Đại tướng Võ Nguyên Giáp đã quyết định thay đổi phương châm tác chiến từ 'đánh nhanh thắng nhanh' sang 'đánh chắc tiến chắc' vì lý do gì?","Multiple Choice","Quân Pháp quá yếu","Địa hình không thuận lợi cho tấn công nhanh","Đảm bảo thắng lợi và giảm thiểu thương vong","Việt Minh thiếu vũ khí hạng nặng","","3","30","https://upload.wikimedia.org/wikipedia/commons/7/7b/Vietminh_soldiers_pulling_a_cannon_into_position_at_Dien_Bien_Phu.jpg","Quyết định thay đổi phương châm nhằm đảm bảo chắc thắng và hạn chế tối đa tổn thất cho quân đội Việt Minh, khi nhận thấy Pháp đã củng cố công sự rất mạnh."
"Phương tiện chủ yếu được Việt Minh sử dụng để vận chuyển pháo hạng nặng vào trận địa Điện Biên Phủ là gì?","Multiple Choice","Xe tải","Máy bay","Xe đạp thồ","Tàu hỏa","","3","30","https://upload.wikimedia.org/wikipedia/commons/e/ea/Transport_d%C3%A9_munition.jpg","Hàng vạn dân công đã sử dụng xe đạp thồ và sức người để kéo pháo và vận chuyển lương thực, vũ khí vào mặt trận, vượt qua địa hình hiểm trở."
"Chiến thuật đào hầm, đường hào bao vây các cứ điểm của Pháp đã được Việt Minh áp dụng thành công trong chiến dịch nào?","Multiple Choice","Chiến dịch Biên Giới","Chiến dịch Hòa Bình","Chiến dịch Điện Biên Phủ","Chiến dịch Việt Bắc","","3","30","https://upload.wikimedia.org/wikipedia/commons/0/07/Viet_Minh_soldiers_building_trench_during_Dien_Bien_Phu.jpg","Hệ thống đường hào chằng chịt đã giúp Việt Minh bao vây, chia cắt và siết chặt các cứ điểm của Pháp, đồng thời bảo vệ bộ đội khỏi hỏa lực đối phương."
"Một trong những cứ điểm quan trọng nhất của Pháp tại Điện Biên Phủ, thường được gọi bằng tên một phụ nữ, là gì?","Multiple Choice","Beatrice","Isabelle","Anne-Marie","Eliane","","1","30","https://upload.wikimedia.org/wikipedia/commons/b/bd/Eliane.jpg","Các cứ điểm của Pháp tại Điện Biên Phủ được đặt tên theo vần ABC, ví dụ như Beatrice (Đồi Độc Lập), Gabrielle (Đồi Độc Lập), Eliane (Đồi A1)."
